"decmal year", "latitude", "longitude", "bottom depth(m)","recruits per m^2"
1982.55, 40.7667, -68.2, 57, 0.000000e+00
1982.55, 40.7, -68.35, 57, 0.000000e+00
1982.55, 40.6667, -68.4667, 60, 0.000000e+00
1982.54, 40.3833, -68.4833, 95, 0.000000e+00
1982.54, 40.4833, -68.25, 100, 0.000000e+00
1982.54, 40.5333, -68.05, 100, 2.416464e-04
1982.55, 40.7167, -67.7833, 67, 0.000000e+00
1982.55, 40.8333, -67.6833, 68, 0.000000e+00
1982.55, 40.9333, -67.5167, 67, 4.756752e-04
1982.55, 41, -67.2833, 67, 1.427026e-03
1982.55, 41.1167, -67.4167, 55, 0.000000e+00
1982.55, 41, -67.6667, 60, 0.000000e+00
1982.55, 40.9667, -67.7, 59, 0.000000e+00
1982.55, 40.9333, -67.8167, 57, 2.367070e-04
1982.55, 40.8833, -67.8667, 58, 0.000000e+00
1982.55, 40.8, -67.9667, 66, 0.000000e+00
1982.54, 40.6333, -67.9833, 81, 0.000000e+00
1982.55, 40.65, -67.8333, 79, 0.000000e+00
1982.55, 40.6667, -67.7, 69, 0.000000e+00
1982.55, 40.75, -67.5833, 75, 0.000000e+00
1982.55, 40.6333, -67.4667, 91, 0.000000e+00
1982.55, 40.6833, -67.3667, 92, 0.000000e+00
1982.55, 40.8333, -67.4333, 79, 1.196043e-03
1982.55, 40.8, -67.2333, 91, 0.000000e+00
1982.55, 40.8333, -67.2333, 88, 2.402473e-04
1982.57, 41.2, -67.15, 57, 0.000000e+00
1982.57, 41.1333, -67, 65, 0.000000e+00
1982.57, 41.0333, -66.9333, 68, 2.656900e-04
1982.57, 41.1333, -66.8, 69, 0.000000e+00
1982.57, 41.2667, -66.9167, 66, 0.000000e+00
1982.57, 41.3, -66.85, 69, 0.000000e+00
1982.57, 41.3833, -66.8833, 64, 0.000000e+00
1982.57, 41.5, -66.8833, 64, 0.000000e+00
1982.57, 40.9667, -66.85, 79, 0.000000e+00
1982.57, 40.9, -66.85, 89, 1.141618e-03
1982.57, 40.9333, -66.6667, 93, 1.271308e-03
1982.57, 40.9667, -66.5667, 94, 2.179084e-03
1982.57, 41, -66.5667, 85, 4.798002e-03
