UTM-X,UTM-Y,Depth,Lat,Lon
526428,4.47E+06,88.8714,40.3592,-68.6888
441236,4.48E+06,70.404,40.441,-69.6929
459756,4.48E+06,66.3797,40.4254,-69.4744
494944,4.47E+06,82.8613,40.393,-69.0596
422716,4.48E+06,73.3533,40.4562,-69.9115
511612,4.47E+06,82.8872,40.3762,-68.8632
478276,4.47E+06,80.1254,40.4094,-69.256
528280,4.47E+06,93.7047,40.3592,-68.667
443088,4.48E+06,69.6855,40.4411,-69.6711
461608,4.48E+06,67.2422,40.4255,-69.4526
424568,4.48E+06,73.5277,40.4563,-69.8896
496796,4.47E+06,82.7129,40.393,-69.0378
513464,4.47E+06,84.4559,40.3762,-68.8414
480128,4.47E+06,78.8919,40.4095,-69.2342
444940,4.48E+06,68.5762,40.4412,-69.6492
530132,4.47E+06,92.9829,40.3591,-68.6451
463460,4.48E+06,68.4298,40.4256,-69.4308
426420,4.48E+06,73.9254,40.4565,-69.8678
498648,4.47E+06,81.493,40.393,-69.0159
481980,4.47E+06,78.7946,40.4095,-69.2124
515316,4.47E+06,84.7976,40.3762,-68.8196
446792,4.48E+06,67.7683,40.4414,-69.6274
465312,4.48E+06,70.8562,40.4257,-69.4089
428272,4.48E+06,74.039,40.4567,-69.846
531984,4.47E+06,93.9639,40.359,-68.6233
500500,4.47E+06,81.0977,40.393,-68.9941
483832,4.47E+06,80.7616,40.4095,-69.1906
517168,4.47E+06,86.4228,40.3762,-68.7978
448644,4.48E+06,66.2755,40.4415,-69.6056
430124,4.48E+06,73.9899,40.4568,-69.8241
467164,4.48E+06,71.284,40.4257,-69.3871
533836,4.47E+06,95.8773,40.359,-68.6015
502352,4.47E+06,82.4848,40.393,-68.9723
485684,4.47E+06,81.0114,40.4096,-69.1687
450496,4.48E+06,65.8792,40.4416,-69.5837
519020,4.47E+06,84.6393,40.3761,-68.7759
431976,4.48E+06,73.4369,40.457,-69.8023
469016,4.48E+06,73.9118,40.4258,-69.3653
535688,4.47E+06,96.2708,40.3589,-68.5797
504204,4.47E+06,81.9675,40.393,-68.9505
487536,4.47E+06,82.1479,40.4096,-69.1469
452348,4.48E+06,64.3515,40.4417,-69.5619
433828,4.48E+06,72.9464,40.4571,-69.7804
520872,4.47E+06,86.961,40.3761,-68.7541
470868,4.48E+06,75.3076,40.4259,-69.3434
415308,4.48E+06,70.5552,40.4721,-69.9991
537540,4.47E+06,98.2029,40.3588,-68.5579
454200,4.48E+06,64.0199,40.4418,-69.5401
489388,4.47E+06,82.7492,40.4096,-69.1251
506056,4.47E+06,82.0907,40.393,-68.9286
435680,4.48E+06,72.2555,40.4573,-69.7586
472720,4.48E+06,75.8542,40.4259,-69.3216
522724,4.47E+06,88.9055,40.376,-68.7323
417160,4.48E+06,71.0285,40.4723,-69.9772
456052,4.48E+06,65.8899,40.4419,-69.5182
437532,4.48E+06,71.965,40.4574,-69.7368
539392,4.47E+06,99.6642,40.3587,-68.5361
491240,4.47E+06,81.8183,40.4097,-69.1033
507908,4.47E+06,81.6018,40.393,-68.9068
474572,4.48E+06,75.2612,40.426,-69.2998
419012,4.48E+06,71.4228,40.4725,-69.9554
524576,4.47E+06,86.3445,40.376,-68.7105
439384,4.48E+06,71.1706,40.4575,-69.7149
457904,4.48E+06,64.212,40.442,-69.4964
493092,4.47E+06,82.9399,40.4097,-69.0814
509760,4.47E+06,81.2284,40.393,-68.885
420864,4.48E+06,71.5162,40.4727,-69.9336
476424,4.48E+06,76.8796,40.4261,-69.2779
526428,4.47E+06,86.3748,40.3759,-68.6887
441236,4.48E+06,70.7901,40.4577,-69.6931
459756,4.48E+06,62.7543,40.4421,-69.4745
494944,4.47E+06,81.0307,40.4097,-69.0596
422716,4.48E+06,71.7163,40.4728,-69.9117
511612,4.47E+06,81.2805,40.3929,-68.8632
478276,4.48E+06,78.7815,40.4261,-69.2561
528280,4.47E+06,91.6982,40.3759,-68.6669
443088,4.48E+06,70.0209,40.4578,-69.6712
461608,4.48E+06,65.809,40.4422,-69.4527
424568,4.48E+06,72.1476,40.473,-69.8899
496796,4.47E+06,80.6753,40.4097,-69.0378
